1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,R,I,A,S,E,C,Class
4,3,3,2,1,4,1,3,2,4,2,2,1,2,2,1,2,2,2,3,2,3,3,0,2,1,2,2,1,3,2,4,2,2,2,2,2,2,1,1,1,2,1,1,2,1,3,3,2,2,1,2,1,2,23,18,18,20,13,17,R
2,2,2,3,1,3,0,2,2,3,2,2,4,3,3,2,1,2,3,3,4,2,1,0,2,3,4,3,3,3,3,3,4,4,4,2,3,1,3,2,4,2,0,2,2,2,2,2,4,2,2,3,1,4,17,22,22,29,19,22,S
4,2,2,1,2,3,0,2,0,0,0,3,4,2,1,3,2,3,3,2,2,1,1,0,0,0,0,3,2,4,2,1,4,1,4,2,0,1,3,0,1,3,2,3,4,3,2,0,2,1,2,3,0,1,16,18,9,23,17,14,S
2,3,4,2,2,4,2,3,2,3,2,2,2,2,2,3,3,2,4,4,4,1,3,1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,24,21,25,25,20,20,A
3,3,4,2,2,2,1,2,3,3,3,3,4,3,3,2,2,3,3,4,4,3,2,2,4,3,2,2,3,4,3,2,2,3,3,2,2,2,3,4,2,2,3,4,3,2,2,3,2,3,3,3,2,1,22,26,27,24,25,21,A
2,2,1,0,3,2,1,1,0,2,2,1,3,2,2,1,1,1,3,2,1,1,2,0,1,1,2,3,3,2,2,3,3,3,3,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,1,3,12,15,13,24,14,16,S
4,4,4,2,2,3,0,1,0,4,3,3,2,3,2,3,2,2,1,4,2,2,4,1,4,4,4,4,4,3,2,4,4,4,4,3,4,4,4,3,4,4,0,2,2,3,3,3,2,2,4,4,4,2,20,24,26,32,27,27,S
2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,3,0,1,0,1,1,1,1,1,2,3,2,2,1,2,2,2,1,1,1,1,1,2,2,3,1,1,1,2,1,1,2,1,1,15,10,11,16,14,11,S
3,3,3,2,0,3,1,2,2,2,2,3,1,3,2,3,2,3,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,3,2,2,3,3,2,3,2,1,2,2,2,1,2,2,1,2,2,1,2,19,21,14,18,20,15,I
2,2,3,4,1,3,1,2,2,3,2,2,4,2,3,2,2,2,2,2,4,2,0,1,3,4,4,3,3,3,3,3,3,4,4,2,3,2,3,1,3,2,0,2,1,1,2,2,3,2,2,2,2,4,20,22,22,28,17,20,S
2,3,4,0,4,3,0,0,0,3,3,3,4,4,4,3,2,3,4,2,4,2,4,3,4,4,4,3,4,3,2,3,4,4,4,2,4,4,3,2,4,2,4,4,4,2,1,3,1,3,2,4,3,4,16,29,31,29,31,23,A
1,2,2,1,1,1,2,3,1,1,1,0,0,0,0,0,1,1,3,3,3,0,1,0,0,0,2,2,2,2,1,3,2,2,3,1,3,1,2,1,1,1,0,0,0,0,1,2,0,0,0,2,0,1,14,4,12,18,9,6,S
3,2,2,1,2,4,1,3,3,2,1,1,2,2,2,1,0,1,4,2,3,0,3,1,1,2,1,2,1,2,1,2,1,2,2,2,3,1,2,1,1,1,0,1,2,1,1,2,1,0,0,1,0,0,21,12,17,15,12,6,R
0,3,1,0,0,3,0,4,2,0,0,0,1,0,0,0,1,0,4,2,4,0,0,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,13,2,10,9,8,1,R
1,3,2,1,2,2,3,3,3,2,1,1,0,1,1,1,1,1,3,3,4,0,3,3,1,1,3,4,3,3,4,3,3,3,3,2,2,2,4,2,2,1,1,0,0,1,1,1,0,0,1,1,0,0,20,9,21,28,14,5,S
3,4,4,1,1,4,0,0,1,3,3,2,3,3,4,4,3,3,2,4,4,3,4,0,1,4,3,2,2,3,2,3,3,0,3,3,4,3,1,3,4,3,0,3,0,2,0,0,0,0,0,1,1,0,18,28,25,21,21,4,I
2,1,1,0,0,4,0,3,0,2,2,3,2,2,1,1,2,2,3,3,3,3,2,0,2,1,2,3,3,4,1,2,4,3,4,2,0,2,2,2,2,2,0,1,1,1,4,4,1,1,1,3,3,1,11,17,19,26,12,19,S
4,4,3,2,1,2,2,3,1,3,3,3,2,2,3,4,3,2,0,4,4,3,2,0,3,3,3,1,2,1,4,3,4,1,3,3,3,2,3,4,3,1,0,3,3,2,3,2,1,2,3,3,1,1,22,25,22,22,22,18,I
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,36,36,36,36,36,36,R
3,2,1,1,0,4,0,0,4,2,1,1,4,1,2,3,2,1,1,2,4,2,1,1,1,2,1,1,1,2,1,2,4,2,2,1,4,2,2,1,2,2,0,4,1,2,1,2,2,2,2,3,2,4,15,17,15,16,18,20,C
2,3,2,1,3,1,2,2,1,2,2,3,1,3,3,2,1,2,2,2,2,2,2,0,2,1,1,2,2,3,2,2,2,3,3,2,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,17,19,14,21,14,13,S
2,3,2,1,3,2,0,3,0,2,2,3,1,2,2,2,2,3,4,4,4,2,3,2,2,3,3,2,3,3,2,2,2,3,4,1,2,3,3,3,4,2,4,2,4,3,2,3,1,1,2,2,2,2,16,19,27,22,27,18,A
3,3,4,2,4,3,2,4,3,2,2,3,3,3,2,2,2,2,3,3,4,3,3,3,3,4,3,4,4,3,2,4,4,4,4,3,2,2,3,2,3,2,2,2,2,3,2,3,3,3,2,4,4,3,28,21,29,32,20,27,S
2,2,4,2,1,2,1,2,2,2,2,2,1,1,2,1,2,3,4,3,4,3,1,2,2,2,2,3,2,2,2,3,2,1,2,2,3,1,2,1,1,1,1,4,3,2,2,2,0,1,1,1,1,0,18,16,23,19,17,10,A
2,3,2,1,4,1,3,2,4,2,1,2,2,0,2,2,0,3,2,3,4,2,1,2,0,2,1,2,1,3,2,2,1,0,2,2,1,3,3,2,2,1,0,0,4,2,3,3,2,1,1,1,1,0,22,14,17,15,16,14,R
2,1,0,1,3,1,1,3,0,1,1,1,0,1,1,0,1,0,3,2,3,0,1,0,0,1,0,3,1,2,2,2,1,1,3,1,0,0,0,0,0,0,3,3,3,1,3,3,0,0,0,0,0,0,12,6,10,16,9,7,S
2,4,0,0,0,2,0,0,0,1,0,0,4,1,0,4,1,0,4,1,4,0,2,1,3,4,1,2,1,2,3,2,3,1,2,0,2,0,1,1,0,4,0,2,1,1,3,1,0,0,4,1,2,1,8,11,20,16,11,13,A
2,3,1,1,3,2,0,2,3,3,3,2,3,3,2,2,2,3,3,2,1,0,1,1,1,2,2,2,2,2,3,4,3,3,4,1,2,2,2,1,3,1,0,3,1,2,2,3,1,1,2,2,1,2,17,23,13,24,15,16,S
